,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
Adams.John,0,0,1,1,0,0,0
Adams.Samuel,0,0,1,1,0,1,1
Allen.Dr,0,0,1,0,0,0,0
Appleton.Nathaniel,0,0,1,0,0,1,0
Ash.Gilbert,1,0,0,0,0,0,0
Austin.Benjamin,0,0,0,0,0,0,1
Austin.Samuel,0,0,0,0,0,0,1
Avery.John,0,1,0,0,0,0,1
Baldwin.Cyrus,0,0,0,0,0,0,1
Ballard.John,0,0,1,0,0,0,0
Barber.Nathaniel,0,0,1,0,1,1,1
Barnard.Samuel,0,0,0,0,1,0,0
Barrett.Samuel,1,0,0,0,0,0,1
Bass.Henry,0,1,1,0,1,0,1
Bell.William,1,0,0,0,0,0,0
Blake.Increase,1,0,0,0,0,0,0
Boit.John,0,0,1,0,0,0,0
Bolter.Thomas,0,0,0,0,1,0,0
Boyer.Peter,0,0,0,0,0,0,1
Boynton.Richard,0,0,0,0,0,1,1
Brackett.Jos,0,0,0,0,0,0,1
Bradford.John,0,0,0,0,0,1,1
Bradlee.David,0,0,0,0,1,0,0
Bradlee.Josiah,0,0,0,0,1,0,0
Bradlee.Nathaniel,0,0,0,0,1,0,0
Bradlee.Thomas,0,0,0,0,1,0,0
Bray.George,1,0,0,0,0,0,0
Breck.William,0,0,1,0,0,0,0
Bewer.James,0,0,0,0,1,0,0
Brimmer.Herman,0,0,0,0,0,0,1
Brimmer.Martin,0,0,0,0,0,0,1
Broomfield.Henry,0,0,0,0,0,0,1
Brown.Hugh,1,0,0,0,0,0,0
Brown.Enoch,0,0,0,0,0,0,1
Brown.John,0,0,0,0,0,0,1
Bruce.Stephen,0,0,0,0,1,0,0
Burbeck.Edward,1,0,0,0,0,0,0
Burbeck.William,1,0,0,0,0,0,0
Burt.Benjamin,0,0,1,0,0,0,0
Burton.Benjamin,0,0,0,0,1,0,0
Cailleteau.Edward,1,0,0,0,0,0,0
Callendar.Elisha,1,0,0,0,0,0,0
Campbell.Nicholas,0,0,0,0,1,0,0
Cazneau.Capt,0,0,1,0,0,0,0
Chadwell.Mr,0,0,1,0,0,0,0
Champney.Caleb,0,0,1,0,0,0,0
Chase.Thomas,0,1,1,0,1,0,1
Cheever.Ezekiel,0,0,1,0,0,0,1
Chipman.Seth,1,0,0,0,0,0,0
Chrysty.Thomas,0,0,1,0,0,0,0
Church.Benjamin,0,0,1,1,0,1,1
Clarke.Benjamin,0,0,0,0,1,0,0
Cleverly.Stephen,0,1,0,0,0,0,0
Cochran.John,0,0,0,0,1,0,0
Colesworthy.Gilbert,0,0,0,0,1,0,0
Collier.Gershom,0,0,0,0,1,0,0
Collins.Ezra,1,0,0,0,0,0,0
Collson.Adam,0,0,1,0,1,0,0
Condy.JamesFoster,0,0,1,0,1,0,1
Cooper.Samuel,0,0,0,1,1,0,0
Cooper.William,0,0,0,1,0,0,0
Crafts.Thomas,1,1,0,0,0,0,0
Crane.John,0,0,0,0,1,0,0
Davis.Caleb,0,0,0,0,0,1,1
Davis.Edward,0,0,0,0,0,0,1
Davis.Robert,0,0,0,0,1,0,0
Davis.William,0,0,0,0,0,0,1
Dawes.Thomas,0,0,0,1,0,0,0
Dennie.William,0,0,1,0,0,1,0
Deshon.Moses,1,0,0,0,0,0,0
Dexter.Samuel,0,0,0,1,0,0,0
Dolbear.Edward,0,0,0,0,1,0,0
Doyle.Peter,1,0,0,0,0,0,0
Eaton.Joseph,0,0,0,0,1,0,0
Eayres.Joseph,0,0,0,0,1,0,1
Eckley.Unknown,0,0,0,0,1,0,0
Edes.Benjamin,0,1,1,0,0,0,0
Emmes.Samuel,0,0,1,0,0,0,0
Etheridge.William,0,0,0,0,1,0,0
Fenno.Samuel,0,0,0,0,1,0,0
Ferrell.Ambrose,1,0,0,0,0,0,0
Field.Joseph,0,1,0,0,0,0,0
Flagg.Josiah,1,0,0,0,0,0,0
Fleet.Thomas,0,0,0,1,0,0,0
Foster.Bos,0,0,0,0,0,0,1
Foster.Samuel,0,0,0,0,1,0,0
Frothingham.Nathaniel,0,0,0,0,1,0,0
Gammell.John,0,0,0,0,1,0,0
